content,score,preprocess
moonton jahanammmm gw maen dari mythic bintang 33 turun terus sampe ke bintang 20 susah banget moonton gw nyari hero gw apalagi musuhnya kek ga seimbang banget mentang mentang bentar lagi season aduh moonton tolong diperbaiki lagi moonton maaf ini mah,1,jahanammmm mythic bintang turun bintang susah cari hero musuh tidak imbang mentang mentang bentar season aduh tolong baik maaf mah
"sungguh saya lebih suka versi yang lama, itu sebabnya saya memain kan MC, versi ini membuat saya jijik. berasa JD anak tiri main ini.",1,sungguh suka versi main versi jijik asa anak tiri
gem nya seru,5,seru
"game ampas,pake sinergi apa,di berinya hero apa",1,ampaspake sinergi apadi beri hero
game tolol jangan dimainin,1,tolol jangan dimainin
mantap untuk hiburan diwaktu senggang,5,mantap hibur waktu senggang
Game ga jelas semua jenis buff da d pakai tetap aja kalah.,1,tidak jenis buff pakai kalah
mantap booscu,5,mantap booscu
tapi sinyal.... min,5,tapi sinyal min
semakin besar update apk,5,update aplikasi
ok mantap juga,5,ok mantap
seru bagus suka sekali,5,seru bagus suka
busuk ngeroll hero gk pernah dapet yg dipengen walaupun gk dipake orang sue,1,busuk ngeroll hero tidak ken tidak pakai orang sue
bang boger minta nerf karina apa hapus aja gapapa aku ikhlas ko ehek,4,boger nerf karina hapus gapapa ikhlas ehek
asik buat game,5,asik
seru banget dan santai,5,seru santai
permainan yg seru,5,main seru
"game asik menghibur, untuk waktu luang",5,asik hibur luang
terbaik,5,baik
keren,5,keren
Gem ini seru dari pada ML Aku sangat menyukai nya😄😄😄,5,seru ml suka
GAME STRATEGI YANG SANGAT HEBAT !!!,5,strategi hebat
jadi makin mudah tapi seru,5,mudah tapi seru
"mantap,tapi kekuatan Hero 5 gold sama dengan Hero 1 gold",4,mantaptapi kuat hero gold hero gold
game busuk,1,busuk
online battle good,5,online battle good
it's so keren,5,its so keren
seru banget tapi sayangnya aku mau ada comander dan hero yang lain,4,seru tapi sayang comander hero
mantep banget coy,5,mantap coy
permainannya yg lama ke lamaan bikin hilang modnya untuk bermain,1,main lama hilang modnya main
algoritma masih sama dan tidak ada peningkatan,1,algoritma tidak tingkat
game ini sangat bagus untuk dijadikan game edukasi,5,bagus jadi edukasi
"samapi saat ini ,, masih jadi game favorit sih ,,",5,favorit
bagus untuk game play nya markotop lah,5,bagus play markotop
"lama banget kalo update bosen Synergy itu mulu, terlalu kelamaan klo update",1,update bosan synergy mulu update
aku suka dengan game ini,5,suka
kalau ada hero yang mau b2 atau b3 kan udah dikunci tetep hilang,2,hero bintang bintang kunci hilang
paling males pass spin Hero gada Mulu Hero buat setiap sinergi paling ampas,1,malas pass spin hero mulu hero sinergi ampas
wuhu!,5,wuhu
"Sedikit p2w, terutama dibagian slot sementara kalo beli mc pass. Trus entah ngebug apa gimana, kako ganti akun suka kerelog padahal season 1 gak pernah, device juga udah lumayan(redmi note 13pro5g) jadi bikin kesel. Trus matchmaking kadang gak seimbang, mungkin biar cepet ketemu musuh tapi cukuo merepotkan bagi yg masih pemula.",2,sedikit pw bagi slot beli pass bug kako ganti akun suka kerelog season tidak device lumayanredmi note prog kesel matchmaking kadang tidak imbang biar cepat ketemu musuh tapi cukuo repot mula
cmd karina tolong hilangin krna hama gda skill,1,commander karina tolong hilang hama skill
good game,5,good
ga tau asik aja gitu,5,tidak asik
makin parah sinergi yang di mainkan heronya gak di keluarin refresh shop sampai 40 gold gak ada yg keluar,1,parah sinergi main hero tidak keluar refresh shop gold tidak
gemnya seru banget mana hampir sama ml yang asli,5,gemnya seru ml asli
ngbug terus pas mau ganti akunnya udah uninstall balik jga tetep gtu payah,1,bug ganti akun uninstall payah
"pls deh ini game strategi atau game hoki""an moonton? udah berapa kali kek gini, jarang dapat hero salin yg saya pengen utk naikin bintang apalagi hero 4/5 gold pdhl level commander saya udah 8/9, klo kek gitu trs yaudh psti kalah telak lah ama musuh yg hoki lancar jaya dpaat hero yg dia mau",1,tolong strategi hoki jarang hero salin naikin bintang hero gold level commander kalah telak musuh untung lancar jaya dpaat hero
permainan hanya pakai atau beli diamond baru bisa menang game laknat,1,main pakai beli diamond menang laknat
banyak bruizer parah,1,bruizer parah
Jelek amat.,1,jelek
bagus banget permainan nya,5,bagus main
cool,5,cool
sudah bagus hanya jadi kurang bisa menikmati game karena terlalu cepat lebih suka ya dlu,5,bagus kurang nikmat cepat suka
"SUSAH NYA MENJADIKAN 10 SINERGI ERUDITIO DI MODE GOLD RUSH !!! SAYA SUDAH MENCOBA LEBIH DARI 30 KALI. MENGGUNAKAN COMMANDER JHONSON TAPI GA PERNAH DIKASIH DUA CRYSTAL ERUDITIO DARI GO GO CARD ATAU HADIAH SETELAH CREEP!! PADAHAL HANYA DI MODE ITU SAYA BISA SENANG2, TAPI KARENA TIDAK PERNAH MENDAPATKAN 2 CRYSTAL YANG SAMA SAYA JADI EMOSI. HAPUS SAJA SEKALIAN MODE GOLD RUSH GA GUNA ANJENK !!!",1,susah jadi sinergi eruditio mode gold rush coba commander jhonson tapi tidak kasih crystal eruditio card hadiah creep mode senang tapi tidak crystal emosi hapus mode gold rush tidak anjenk
permainan kurang teratur dari segi hiro nya dari kualitas nya ga masuk di akal..,1,main kurang atur segi hiro kualitas tidak masuk akal
tolong untuk commander brown di revamp ya.. yang skill kedua blazing hammer soalnya yg skill sekarang kurang kuat dan kagak ada yg pakai commander ini.. itu aja tolong di dengarkan dan di revamp,5,tolong commander brown revamp skill blazing hammer skill kurang kuat kagak pakai commander tolong dengar revamp
enak,5,enak
berat bener yg sekarang ni,3,berat nih
game simple kaya komen ku,5,simple komen
tidak adil terhadap player secara merata karena hanya beberapa player saja yg di berikan Privilege untuk akses practice mode,1,tidak adil player rata player privilege akses practice mode
rasanya pengan aku uninstall masak hero 5 gold kalah sama 10 sinergi nggak adil banget kalah nomer lima pula padahal pakai fanco b3 game konsol,3,uninstall masak hero gold kalah sinergi adil kalah nomer pakai fanco bintang konsol
Grafiknya bagus,5,grafik bagus
"di awal² mah seru, tapi sekarang gak bisa login kalo pake data seluler",1,awal mah seru tapi tidak login data seluler
selalu terupdate dan pastinya seru untuk selingan klo capek ngerank,5,terupdate pasti seru seling capek ngerank
"Kocak, tidak pernah dapat item yg dibutuhkan",1,kocak tidak item butuh
masa gw epik dilawan sama lejen sama mitik gak imbang banget,1,epik lawan lejen mitik tidak imbang
Sangat bagus saya berharap kedepannya dapat bermain secara offline🙏🏼,5,bagus harap depan main offline
"itu udah keren gamenya tapi itu hitungan gold gimana sih, gold gw 33 up level 16 gw up masa gold gw ngurang sampe 16 seharusnya kan 21",5,keren tapi hitung gold gold up level up gold ngurang
cucuk di mainkan kalau jaringan tidak stabil,5,cucuk main koneksi tidak stabil
asik asik bener bener chess,5,asik asik
sg ngawe dulinan mbeldos,1,sg ngawe dulinan mbeldos
permainan yang menyenangkan,5,main senang
untuk gem nya udah lumayan lah ya tapi kayak nya ini gem menyerap banyak mb sehingga aku main pun sudah habis Kouta nya ini menurut ku klau kalian gmn,1,lumayan tapi serap mbak habis kouta
mantaap,5,mantaap
game judi,1,judi
dikarenakan tidak mendapatkan gogocard premium client,1,tidak gogocard premium client
bagus tapi tolong jangan hapus sinergi Astro 😭😭😭,5,bagus tapi tolong jangan hapus sinergi astro
gamenya enak lebih seru,5,enak seru
bjir amat ini game,5,bjir
buat semua orang gak usah mikir maen ini game karena apa karena faktor keberuntungan yang di pake bukan skill kita jadi kalau kalian mau maen harus punya keberuntungan bagus yang gak bagus mah gak bakalan menang maen ni game,1,orang tidak mikir faktor untung bukan skill untung bagus tidak bagus mah tidak menang nih
"game ga jelas dirugiin mulu gw main ini, bukannya seru malah bikin emosi",1,tidak dirugiin mulu seru emosi
excellent,5,excellent
lumayan,4,lumayan
"Tolong tambahkan fitur blokir player, dan pertemanan di game ini jangan di gabung dengan pertemanan di game mobile lagends.",2,tolong tambah fitur blokir player teman jangan gabung teman mobile lagends
lumayan bagus sistemnya skrg,4,lumayan bagus sistem
gw gk pernah hoki di game ini,1,tidak untung
game nya butut,5,butut
game gaguna anj,1,gaguna anjing
TOLONG HASIL VOTE YANG SESUAI JANGAN RANDOM perbaiki hasil vote woyyyy,3,tolong hasil vote sesuai jangan random baik hasil vote woyyyy
gemnya ng jelas tolong itu demeknya dikuragi baru 2 menit main HP tingal 50 padahal yang lain masi hpnya 100 persen mending gua uninsatal bagi yang blm downlod jgan di download mengecewakan,1,gemnya ng tolong demek ragi menit ponsel tinggal hpnya persen mending uninsatal belum downlod jangan download kecewa
menarik dan seru,5,tarik seru
jadi ketagihan main MCGG,5,tagih
saran semakin tinggi babaknya sekamin tinggi juga waktu sebelum war,5,saran babak sekamin war
"Simpel aja. Ngandelin hoki. Klo hoki"" klo bau"" kebangetan. Sering bgt dimatch ke lawan yg powernya jauh mau nonmirror atau mirror. Gk ngurut seperti dulu. Tolong perbaiki",1,simpel ngandelin untung untung bau banget dimatch lawan powernya nonmirror mirror tidak ngurut tolong baik
game ga ngotak,1,tidak ngotak
kadang dark sistem tp seru,4,kadang dark sistem tapi seru
good job,5,good job
moonton orang mau ganti device aja gak bisa email sama password dah bener eh malah pas beres deteksi cerdas kesalahan jaringan dah nunggu dua bulan masih aja sama ada bug tuh benerin dong,3,orang ganti device tidak email password eh beres deteksi cerdas salah koneksi nunggu bug tuh benerin
game tolol tidak jelas,1,tolol tidak
tidak bisa meroling lawan yg benar,1,tidak meroling lawan
"terus tingkatkan pencapaian kalian, good Job",5,tingkat capai good job
mantep tapi rued,5,mantap tapi rued
kenapa kalau kita main ini gm Magic Chess Gogo itu harus update dan tambah data ?🤔,4,gm gogo update data
asik menyenangkan ada diamond sama acak dan bisa nyobain atau liat skin di magic chess go go,5,asik senang diamond acak coba lihat skin
"game ini asikk bngett saya main dari 2021 sampe sekarang bisa ngisi kekabutan kita se hari"" kalo sendiri atau sama temen bisa juga mabar ber 5",5,asikk ngisi kabut teman mabar ber
"makin rusak ini game nya, musuh dpt hero semua b3 gua dpt 1 pun gk padahal dilihat di store hero msih full, sengaja banget ni game",1,rusak musuh hero bintang tidak store hero full sengaja nih
keren anjay,5,keren anjay
kasih pilihan Hero diawal biar enak malah ngebanyakin comander Hero nya acak gak seru asli susah nya kebangetan,1,pilih hero awal biar enak ngebanyakin comander hero acak tidak seru asli susah banget
ribet banget mau ganti akun lama gabisa,1,ribet ganti akun
saya suka main magic chess go go menurut saya game' ini cukup santai bisa sambil ngopi,5,suka santai ngopi
"Game yang seru dan bisa mengisi waktu luang, apalagi kalo main bareng temen liat temen lagi emosi bawaannya mau ketawa. Ini game kaya game komedi",5,seru isi luang bareng teman lihat teman emosi bawa ketawa komedi
"tetap Rune Nostalgia paling mantap, kalau misalkan kemarin tidak di tambahin Rune Nostalgia auto vakum. karena yang MCGG menurut saya gak masuk akal dengan sinergi dan hero nya, dengan sedikit waktu pertandingan bisa langsung end. Saya sendiri selaku player MC dari pertama keluar di MLBB merasa MCGG ini seperti bukan game strategi. satu hal lagi untuk Pak Moonton yang terhormat, apakah bisa di perbaharui commander nya berubah skill seperti di MLBB dulu pas masuk Rune Nostalgia ? Terimakasih",3,rune nostalgia mantap kemarin tidak tambah rune nostalgia auto vakum tidak masuk akal sinergi hero sedikit tanding langsung end player mlbb bukan strategi hormat baharu commander ubah skill mlbb masuk rune nostalgia terimakasih
game haram jangan di download yg bikinya haram,1,haram jangan download bik haram
jangan main game ini guys sakit ginjal tar kalian monton tol,1,jangan guys sakit ginjal entar monton tol
seru tapi ko legen nya sampe 10 nda kaya biyasanya cuma sampe 5,5,seru tapi legend tidak biyasanya
"semakin di mainkan semakin di turunkan hokinya. kalah 3x baru bagus lagi, aturan game tidak sesuai skil pemain suka2 gamenya yg menang siapa!",1,main turun hoki kalah bagus atur tidak sesuai skil main suka menang
game gak masuk akal dan gak adil,1,tidak masuk akal tidak adil
seru gaes,3,seru gaes
"baru naik mytich kocokan heronya gak jelas,gold nya susah bnget alias miskin hadeuh heran sama ini game berpihak bnget uninstall lah .Thx dh ngsih naik mytich",1,mytich kocok hero tidak jelasgold susah alias miskin hadeuh heran pihak uninstall thx ngsih mytich
game nya bagus tapi ada sedikit bug,4,bagus tapi sedikit bug
bikin gokil lagi ya,5,gila
system pasti win 1x kalah berkali kali system2 tolong dong magic chess ga seru,1,sistem win kalah kali sistem tolong tidak seru
"kaga jelas udah kesambung ke akun nonton masih aja akun nya itu"" aja",1,kagak sambung akun tonton akun
knapa gak dgabung kayak dulu aja sih 🤦‍♂️,1,knapa tidak dgabung
permainannya sangat bagus bagi yang ngerti...!!,5,main bagus erti
"Terlalu banyak Hero gak guna termasuk yhuzon Hero gold 5 tapi gak jelas arahnya mau kemana, dan banyak kejanggalan di slot 10 masa Hero gold 5 susah muncul. GAME RUSAK",1,hero tidak yhuzon hero gold tapi tidak arah mana janggal slot hero gold susah muncul rusak
dancok,5,dancok
geme tolol.. go go card g penting kangen mc persi mobile legen,1,tolol card kangen pers mobile legend
okelah bosa ber nostalgia,5,oke bosa ber nostalgia
"Dear developer mcgg, Tolong untuk manajemen konten bagian download data bisa diatur tanpa download semua data di mcgg. Terima kasih 🙏",3,dear developer tolong manajemen konten download data atur download data terima
gem ngebug ambil imo di kasih nana emang gangotakk gagal win,1,bug ambil imo nana gangotakk gagal win
game nya seru sampe mau nampol role nya susah game bagi org yg sabar dan kuat,5,seru nampol role susah orang sabar kuat
"gamenya udah bagus sih, tapi kok di gw ga ada mode practice nya yaa,apa hp gw yang salah atau emang ga ada practice, soalnya orang banyak main mode practice tapi di gw ga ada, jadi tolong di perbaiki ya",4,bagus tapi tidak mode practice yaaapa ponsel salah tidak practice orang mode practice tapi tidak tolong baik
game rusak,1,rusak
tolong charnya di perbanyak lagi,5,tolong charnya banyak
bagus dan keren,5,bagus keren
sangat mudah dimainkan dan sangat bagus👍,5,mudah main bagus
nice games,5,nice games
monton tolong jangan download lagii kalo abiss pindahh server haruss download lagii ngabisin kuotaa Ama waktuu tolongg perbaiki,5,monton tolong jangan download abiss pindahh server haruss download ngabisin kuotaa waktuu tolongg baik
seru bgt nihh game,4,seru nih
kikir pas lagi nge roll ampas,1,kikir nge roll ampas
bagus kalau hoki,5,bagus untung
pls donk comandernya d bkin kya dlu ling skil 1 op,2,tolong comandernya ling skil op
game yang sangat bagus untuk gabut tapi sayang nggk bisa mode offline pliss kasih fitur mode offline kayak mobile legend,5,bagus bosan tapi sayang mode offline pliss fitur mode offline mobile legend
"game tidak adil , musuh dapet b3, saya dapet b2 aja engga, fix sabotase",1,tidak adil musuh bintang bintang fix sabotase
Mohon ditiadakan menu buat party karena ada player yg buat party isinya akun dia semua buat tumbal biar dia bisa menang.,5,mohon tiada menu party player party isi akun tumbal biar menang
game tolol,1,tolol
untuk ganti akun terlalu ribet dan paling males kalo tutorial ngga ada tombol skip,1,ganti akun ribet malas tutorial tombol skip
"bawakdewak, tau ah bintang 5 aja",5,bawakdewak ah bintang
game nya bagus gameplay nya gak ribet dan harga commander nya murah murah,5,bagus gameplay tidak ribet harga commander murah murah
Permainan tanpa beban dan asik aja,5,main beban asik
sangat menyenangkan bermain Megi ces go go🥰🥰🥰,5,senang main megi ces
top,5,top
gameplay nya seru dan bikin nagih,5,gameplay seru nagih
tidak adil memberi ke player kristal,1,tidak adil player kristal
bahaya game ini .pembodohan blokir aja nih Kominfo tak guna buang buang waktu orang aja,1,bahaya bodoh blokir nih kominfo buang buang orang
buang buang waktu,1,buang buang
sangat baguss dan seruu🥰🥰,5,bagus seru
tolong lah Hero nya kok gak lengkap gak seru,3,tolong hero tidak lengkap tidak seru
"Ini kenapa lagi dah, mau login aja gak bisa bisa, pdhal tadi sempet main bisa trs sekarang knp gak bisa login? Jaringan aman loh tolong dong min knp sih?!",2,login tidak tidak login koneksi aman tolong min
its oke,1,its ok
P Magic,5,p
di akun mcgg saya tidak ada maps party yang room Chet ituu cara memunculkannya gimana,5,akun tidak maps party room chet muncul
seru dan agak sedikit ngeleg aja makasih 🙏🙏🙏,5,seru sedikit lag terima
game buruk gak kasih aku kok yang jelek jelek Hu game burik,1,buruk tidak jelek jelek hu burik
nice game,5,nice
kasih Aurora skin mythic bg🗿,5,aurora skin mythic
GAME GA JELAS BALIKIN MC LAMA ROLL LAN ISI NYA GAJE SEMUA,1,tidak balikin roll lan isi
suka karna game online santai,5,suka online santai
"game nya oferal bagus ga jauh beda dari MC biasa, tapi! itu mode yang baru kenapa kayak ga terlalu berguna! masak cuman sekali kirim aja, dan juga bikin kek bisa ngasih item juga atau barter item. bikin biar bisa ngasih satu Hero di satu fase sama item item juga biar makin asik.",3,oferal bagus tidak beda tapi mode tidak guna masak cuman kirim asih item barter item biar asih hero fase item item biar asik
"untuk commandernya masih OP waktu di mcbb si, lebih seru ada skill 1 2 3 nya, dan agak kecewa kami player vale skill 3 sama 2 sudah dihilangkan",5,commandernya op mcbb seru skill kecewa player vale skill hilang
menghibur dan belajar banyak Hero dan aitem,5,hibur ajar hero aitem
"Keren,enak combonya👍",5,kerenenak combonya
makin aneh gak jelas,1,aneh tidak
fun game,5,fun
"game gajelas, awal doang manisss kek janji mantan",1,doang manis janji mantan
"Role nya kacau,,, gold 30 an cari Hero harga 2 gold gak keluar2 padahal stok masih banyak,,,😂 kocak abis Natan bintang tiga gak bisa2 Hero di shop masih 5 koin 50 lebih gak muncul satu pun level dah maksimal padahal,,, parah",1,role kacau gold cari hero harga gold tidak stok kocak habis natan bintang tidak hero shop koin tidak muncul level maksimal parah
the best game 2025,5,the best
game bloon hero gak di kasih...parah sih rasa keadilan main gak fair...parah parah hero gak keluar keluar...,1,bloon hero tidak kasihparah adil tidak fairparah parah hero tidak
keren dan enjoy mainnya,5,keren enjoy main
seru tapi mohon untuk di permudah menaikan bintang commander,4,seru tapi mohon mudah naik bintang commander
sangat menyenangkan buat pelayer mlbb,5,senang layer mlbb
mantap pokok nya mahh debesttt,5,mantap pokok mahh debesttt
Hero nya diumpetin terus. sampe habis gold kagak muncul... bangke emang ini game.... Buruk sekali dalam memunculkan Hero yang sama....,1,hero diumpetin habis gold kagak muncul bangkai buruk muncul hero
"Sepinter apapun mainnya, kalo tokonya ampas ya gabakal menang mudah dan satu match bakal main lama banget. Ngabisin terlalu banyak waktu doang mainin ini game. Gw yakin yg masih fun mainin ini game cuma conten creator yg memang dapet duit dari konten, sisanya paling bocah yg hidupnya belum ngemban tanggung jawab ama pengangguran yg memang gapunya tanggung jawab",1,sepinter apa main toko ampas menang mudah match ngabisin doang mainin fun mainin conten creator duit konten sisa bocah hidup belum ngemban tanggung anggur tanggung
lumayan buat ngisi waktu luang,5,lumayan ngisi luang
sering lag servernya... jaringan wifi 100mbps lancar jaya tapi gamenya lag.. diperbaiki severnya refresh di shop tidak jelas.. Hero tidak ada yang pake tidak pernah muncul di shop. stok masih banyak tapi sudah didapat... dark sistem.. game tolol,1,lag servernya koneksi wifi mbps lancar jaya tapi lag baik severnya refresh shop tidak hero tidak tidak muncul shop stok tapi dark sistem tolol
ga seru,1,tidak seru
sumpah kesel saya dari awal main mcgg ini saya kesel banget yang namanya comander wanwan +kombo yang keluar petir kombo sampah ngapain di adain. damage lebih besar daripada heronya sendiri kesel saya setiap main ketemu kobmo kek gitu tolong lah hapus kombo yang sampah itu.ganggu banget tuh petirnya risi saya setiap ketemu kombo sampah itu.udah mah wanwan ngeluarin skil+petir rusak semua.,1,sumpah kesel kesel nama comander wanwan kombo petir kombo sampah ada damage hero kesel ketemu kobmo tolong hapus kombo sampah ituganggu tuh petir risi ketemu kombo sampah ituudah mah wanwan keluar skilpetir rusak
"aku pemain lama d magic chess mobile legend,. magic chess yg skarang ga enak, banyak yg d rubah?",5,main mobile legend tidak enak rubah
"synerginya tidak seimbang dari segi damage, dan waktu cari heronya juga susah padahal sudah dipersentase tertingginya, jadi kurang enak waktu memainkannya . coba perbaiki dulu biar seimbang",1,synerginya tidak imbang segi damage cari hero susah persentase tinggi kurang enak main coba baik biar imbang
untuk severnya pilih pilih,1,severnya pilih pilih
game kurang adil susah dapet Hero padahal gak ada yang pake,1,kurang adil susah hero tidak
"saya kangen sama magic ches yg dulu,, kalo pake comander bass skil 3 ,dapet gatot pake elementalis ,",1,kangen ches comander bass skil gatot elementalis
games oke,5,games ok
gacor kangg,5,gacor kangg
buruk mau login malah tetep suruh buat akun padahal udah ada,1,buruk login suruh akun
Mantap intinya jangan pilikasih di game ok ok!!!,5,mantap inti jangan pilikasih ok ok
perbaiki lagi sistem nya ga jelas awal² masih 8 peserta ketemu lawan nya itu lagi itu lagi ga muter ga kaya MC d ml,1,baik sistem tidak awal serta ketemu lawan tidak muter tidak ml
"seru,bikin penasaran",5,serubikin penasaran
semua game moonton bikin kesal selalu eror saat momen krusial padahal jaringan bagus bukan happy malah stres yang ada 😡,1,kesal eror momen krusial koneksi bagus bukan happy stres
game nya oon,1,oon
dari sistem terus asyu,1,sistem asyu
aga bingung dengan sinerginya,3,aga bingung sinergi
"saran aja sih mending di hapus gams nya, dikit"" di nerf OP dikit di nerf GK komender GK Sinerji sama aja di nerf semua",1,saran mending hapus gams dikit nerf op dikit nerf tidak komender tidak sinerji nerf
SIP LAH POKOK NYA,5,sip pokok
Terimakasih,5,terimakasih
game yang menang kalah di tentukan oleh sistem bukan di tentukan oleh skil dan otak,1,menang kalah tentu sistem bukan tentu skil otak
jos gandos,5,jos gandos
"lumayan lah,untuk sementara",5,lumayan lahuntuk
"ampas sengaja bet ngebuat lawan dapat di kasih kartu bagus bagus, lawan di kasih 3 kristal sinergi gue di kasih ampas",1,ampas sengaja ngebuat lawan kartu bagus bagus lawan kristal sinergi gue ampas
game tolol akun gw ilang yet,1,tolol akun hilang yet
"gamenya seru tapi akan seru lagi kalok saat menang/ atau ata quest yg di mana hadiahnya adalah Hero yg ada di MLbb yg setuju like sampai 1.000,! agar di liat sama papa MONTON!",4,seru tapi seru kalok menang ata quest hadiah hero mlbb tuju like lihat papa monton
orangnya pada egois,1,orang egois
"game bagus , cuma role bawah di hilangkan kan aja",5,bagus role hilang
gem menang kalah di atur deflover nya makin hancur semenjak apk mcgg rilis kagak bener LG main main nya,1,menang kalah atur deflover hancur semenjak aplikasi rilis kagak
Izinkan penonton pertandingan menjual hero yang di tonton!!!!!!!!!!¡¡¡¡¡¡¡¡¡¡¡!!!!!!!,1,izin tonton tanding jual hero tonton
kenapa saya tidak dapat menginstal game ini,5,tidak menginstal
gua heran sama sinergi summoner. popoludah bintang 3 aja yang keluar popol trus padahal sun sama vexana blom ada. kenapa montoot kenapaaaaaaa kadang gua kesel sama popol trus trusan babi benerin lah montod,2,heran sinergi summoner popoludah bintang popol sun vexana belum montoot kenapaaaaaaa kadang kesel popol trusan babi benerin montod
game bgus& mnghibur,5,bagus mnghibur
nicee,5,nicee
"rugi kalau gak donlod, game' nya bagus",5,rugi tidak donlod bagus
Permainan yang sangat buruk. emakin banyak sinergi semakin sulit temukan gero yang sama. Hero yang di pakai malah susah di dapat. kalo ada bintang minus aku kasih penilaian paling buruk. karna bikin stres aja ga di bolehin naik level muntun butut,1,main buruk emakin sinergi sulit temu gero hero pakai susah bintang minus nilai buruk stres tidak bolehin level muntun butut
"kenapa gua sedang dalam permainan sering mental keluarnya,(keluar sendiri dalam permainan) tolong penjelasanya",1,main mental keluarnyakeluar main tolong jasa
permainan membosankan kalah nya 10 x menangnya 1 x gila apak kalian,1,main bosan kalah menang gila apak
"aduhh yang jelas dong role role an nya, udah gaada yang nabrak masa gak pernah muncul heronya di shop, udah slot tinggi jugab",1,aduh role role nabrak tidak muncul hero shop slot jugab
mantepppp,5,mantepppp
"ngurus server yg bener, yakali menghubungkan ulang terus, mana pas lagi late game pula",1,ngurus server yakali hubung ulang late
"Semua bagus sangat bagus untuk banyak commander, game play, grafik, dan lainnya sangat bagus",5,bagus bagus commander play grafik bagus
Semakin kesini semakin berat ini game,4,kesini berat
masih ada yang main dengan chat curang,1,chat curang
sudah bagus tungkatkan saja,5,bagus tungkatkan
pecah hubungan dengan Mobel lagend mana lelet dan KB/MB/GB besar,1,pecah hubung mobel lagend lelet kbmbgb
aku cinta mcgg,5,cinta
quit addictive dan menghibur,5,quit addictive hibur
bagus² tingkat kan lagi,5,bagus tingkat
