preprocess,kata_kunci,score,predicted_aspect,details
sungguh suka versi main versi jijik asa anak tiri,"['suka', 'jijik', 'tiri', 'sungguh', 'versi', 'anak', 'main', 'asa']","{'effectiveness': 1.0, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [('asa', 'pengawasan', 100.0)], 'satisfaction': [('suka', 'suka', 100.0), ('main', 'manfaat', 85.71428571428572), ('asa', 'kepuasan', 100.0)]}"
seru,['seru'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0)]}"
ampaspake sinergi apadi beri hero,"['hero', 'sinergi', 'apadi', 'ampaspake', 'beri']","{'effectiveness': 1.75, 'satisfaction': 1.71}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('apadi', 'mencapai', 88.88888888888889)], 'satisfaction': [('apadi', 'adil', 85.71428571428572), ('beri', 'bersemangat', 85.71428571428572)]}"
tolol jangan dimainin,"['tolol', 'jangan', 'dimainin']","{'effectiveness': 1.6, 'satisfaction': 1.71}",satisfaction,"{'effectiveness': [('tolol', 'pertolongan', 80.0), ('jangan', 'dukungan', 80.0)], 'satisfaction': [('jangan', 'kesenangan', 90.9090909090909), ('dimainin', 'damai', 80.0)]}"
mantap hibur waktu senggang,"['senggang', 'mantap', 'hibur', 'waktu']","{'effectiveness': 0, 'satisfaction': 3.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('senggang', 'senggang', 100.0), ('mantap', 'mantap', 100.0), ('hibur', 'menghibur', 100.0)]}"
tidak jenis buff pakai kalah,"['tidak', 'jenis', 'buff', 'pakai', 'kalah']","{'effectiveness': 1.69, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('buff', 'bug', 80.0), ('kalah', 'masalah', 88.88888888888889)], 'satisfaction': []}"
mantap booscu,"['booscu', 'mantap']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantap', 'mantap', 100.0)]}"
tapi sinyal min,"['sinyal', 'min', 'tapi']","{'effectiveness': 0, 'satisfaction': 1.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('min', 'yakin', 80.0), ('tapi', 'mantap', 85.71428571428572)]}"
update aplikasi,"['update', 'aplikasi']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
ok mantap,"['ok', 'mantap']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantap', 'mantap', 100.0)]}"
seru bagus suka,"['bagus', 'suka', 'seru']","{'effectiveness': 0, 'satisfaction': 3.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('suka', 'suka', 100.0), ('seru', 'seru', 100.0)]}"
busuk ngeroll hero tidak ken tidak pakai orang sue,"['hero', 'tidak', 'sue', 'busuk', 'pakai', 'orang', 'ngeroll', 'ken']","{'effectiveness': 3.46, 'satisfaction': 3.35}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('sue', 'selesai', 80.0), ('busuk', 'bug', 80.0), ('ken', 'kendali', 100.0)], 'satisfaction': [('sue', 'semangat', 80.0), ('busuk', 'suka', 85.71428571428572), ('orang', 'curang', 88.88888888888889), ('ken', 'kepuasan', 80.0)]}"
boger nerf karina hapus gapapa ikhlas ehek,"['boger', 'hapus', 'nerf', 'karina', 'ehek', 'gapapa', 'ikhlas']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('hapus', 'puas', 85.71428571428572)]}"
asik,['asik'],"{'effectiveness': 0.86, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572)], 'satisfaction': [('asik', 'motivasi', 85.71428571428572)]}"
seru santai,"['santai', 'seru']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('santai', 'santai', 100.0), ('seru', 'seru', 100.0)]}"
main seru,"['seru', 'main']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
asik hibur luang,"['luang', 'asik', 'hibur']","{'effectiveness': 0.86, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572)], 'satisfaction': [('luang', 'luang', 100.0), ('asik', 'motivasi', 85.71428571428572), ('hibur', 'menghibur', 100.0)]}"
baik,['baik'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('baik', 'baik', 100.0)]}"
keren,['keren'],"{'effectiveness': 0.8, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0)]}"
seru ml suka,"['ml', 'suka', 'seru']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('suka', 'suka', 100.0), ('seru', 'seru', 100.0)]}"
strategi hebat,"['strategi', 'hebat']","{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('strategi', 'setara', 80.0)]}"
mudah tapi seru,"['mudah', 'tapi', 'seru']","{'effectiveness': 0, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mudah', 'mudah', 100.0), ('tapi', 'mantap', 85.71428571428572), ('seru', 'seru', 100.0)]}"
mantaptapi kuat hero gold hero gold,"['gold', 'hero', 'kuat', 'mantaptapi']","{'effectiveness': 0.86, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('kuat', 'kuat', 100.0), ('mantaptapi', 'mantap', 100.0)]}"
busuk,['busuk'],"{'effectiveness': 0.8, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [('busuk', 'bug', 80.0)], 'satisfaction': [('busuk', 'suka', 85.71428571428572)]}"
online battle good,"['battle', 'online', 'good']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
its so keren,['keren'],"{'effectiveness': 0.8, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0)]}"
seru tapi sayang comander hero,"['hero', 'comander', 'seru', 'tapi', 'sayang']","{'effectiveness': 1.66, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('sayang', 'pemeriksaan', 80.0)], 'satisfaction': [('seru', 'seru', 100.0), ('tapi', 'mantap', 85.71428571428572), ('sayang', 'lumayan', 80.0)]}"
mantap coy,"['coy', 'mantap']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantap', 'mantap', 100.0)]}"
main lama hilang modnya main,"['hilang', 'lama', 'modnya', 'main']","{'effectiveness': 0.86, 'satisfaction': 2.6}",satisfaction,"{'effectiveness': [('lama', 'lambat', 85.71428571428572)], 'satisfaction': [('hilang', 'luang', 88.88888888888889), ('lama', 'aman', 85.71428571428572), ('main', 'manfaat', 85.71428571428572)]}"
algoritma tidak tingkat,"['algoritma', 'tingkat', 'tidak']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('tingkat', 'meningkatkan', 85.71428571428572)]}"
bagus jadi edukasi,"['edukasi', 'bagus', 'jadi']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('jadi', 'adil', 85.71428571428572)]}"
favorit,['favorit'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
bagus play markotop,"['bagus', 'play', 'markotop']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0)]}"
update bosan synergy mulu update,"['update', 'synergy', 'mulu', 'bosan']","{'effectiveness': 1.0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('mulu', 'mulus', 100.0)], 'satisfaction': [('bosan', 'bosan', 100.0)]}"
suka,['suka'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('suka', 'suka', 100.0)]}"
hero bintang bintang kunci hilang,"['hero', 'bintang', 'hilang', 'kunci']","{'effectiveness': 0.86, 'satisfaction': 1.69}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('bintang', 'tenang', 80.0), ('hilang', 'luang', 88.88888888888889)]}"
malas pass spin hero mulu hero sinergi ampas,"['spin', 'hero', 'ampas', 'mulu', 'sinergi', 'pass', 'malas']","{'effectiveness': 1.86, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('mulu', 'mulus', 100.0)], 'satisfaction': [('ampas', 'puas', 85.71428571428572), ('pass', 'puas', 85.71428571428572), ('malas', 'malas', 100.0)]}"
wuhu,['wuhu'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
sedikit pw bagi slot beli pass bug kako ganti akun suka kerelog season tidak device lumayanredmi note prog kesel matchmaking kadang tidak imbang biar cepat ketemu musuh tapi cukuo repot mula,"['slot', 'pw', 'matchmaking', 'ganti', 'repot', 'kerelog', 'kesel', 'beli', 'lumayanredmi', 'bagi']","{'effectiveness': 1.8, 'satisfaction': 5.23}",satisfaction,"{'effectiveness': [('kesel', 'ketelitian', 80.0), ('bagi', 'sebagian', 100.0)], 'satisfaction': [('matchmaking', 'yakin', 80.0), ('ganti', 'santai', 80.0), ('kerelog', 'keren', 88.88888888888889), ('kesel', 'kesenangan', 88.88888888888889), ('lumayanredmi', 'lumayan', 100.0), ('bagi', 'bagus', 85.71428571428572)]}"
commander karina tolong hilang hama skill,"['commander', 'karina', 'skill', 'tolong', 'hilang', 'hama']","{'effectiveness': 1.86, 'satisfaction': 1.75}",effectiveness,"{'effectiveness': [('tolong', 'pertolongan', 100.0), ('hama', 'hambatan', 85.71428571428572)], 'satisfaction': [('hilang', 'luang', 88.88888888888889), ('hama', 'aman', 85.71428571428572)]}"
good,['good'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
tidak asik,"['asik', 'tidak']","{'effectiveness': 0.86, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572)], 'satisfaction': [('asik', 'motivasi', 85.71428571428572)]}"
parah sinergi main hero tidak keluar refresh shop gold tidak,"['tidak', 'gold', 'hero', 'parah', 'main', 'sinergi', 'shop', 'keluar', 'refresh']","{'effectiveness': 1.66, 'satisfaction': 1.75}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('keluar', 'keliru', 80.0)], 'satisfaction': [('main', 'manfaat', 85.71428571428572), ('refresh', 'resah', 88.88888888888889)]}"
gemnya seru ml asli,"['gemnya', 'ml', 'asli', 'seru']","{'effectiveness': 0.86, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('asli', 'akurasi', 85.71428571428572)], 'satisfaction': [('asli', 'motivasi', 85.71428571428572), ('seru', 'seru', 100.0)]}"
bug ganti akun uninstall payah,"['uninstall', 'akun', 'bug', 'ganti', 'payah']","{'effectiveness': 1.86, 'satisfaction': 1.6}",effectiveness,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572), ('bug', 'bug', 100.0)], 'satisfaction': [('bug', 'buruk', 80.0), ('ganti', 'santai', 80.0)]}"
tolong strategi hoki jarang hero salin naikin bintang hero gold level commander kalah telak musuh untung lancar jaya dpaat hero,"['hero', 'commander', 'musuh', 'kalah', 'untung', 'naikin', 'strategi', 'telak', 'bintang', 'dpaat']","{'effectiveness': 1.75, 'satisfaction': 3.29}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('kalah', 'masalah', 88.88888888888889)], 'satisfaction': [('musuh', 'rusuh', 88.88888888888889), ('naikin', 'yakin', 80.0), ('strategi', 'setara', 80.0), ('bintang', 'tenang', 80.0)]}"
main pakai beli diamond menang laknat,"['diamond', 'menang', 'beli', 'pakai', 'laknat', 'main']","{'effectiveness': 0.8, 'satisfaction': 1.77}",satisfaction,"{'effectiveness': [('laknat', 'lag', 80.0)], 'satisfaction': [('menang', 'tenang', 90.9090909090909), ('main', 'manfaat', 85.71428571428572)]}"
bruizer parah,"['bruizer', 'parah']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
jelek,['jelek'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('jelek', 'jelek', 100.0)]}"
bagus main,"['bagus', 'main']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
cool,['cool'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
bagus kurang nikmat cepat suka,"['nikmat', 'suka', 'bagus', 'kurang', 'cepat']","{'effectiveness': 0.8, 'satisfaction': 3.91}",satisfaction,"{'effectiveness': [('cepat', 'ketepatan', 80.0)], 'satisfaction': [('nikmat', 'nikmat', 100.0), ('suka', 'suka', 100.0), ('bagus', 'bagus', 100.0), ('kurang', 'curang', 90.9090909090909)]}"
susah jadi sinergi eruditio mode gold rush coba commander jhonson tapi tidak kasih crystal eruditio card hadiah creep mode senang tapi tidak crystal emosi hapus mode gold rush tidak anjenk,"['anjenk', 'gold', 'hadiah', 'mode', 'jhonson', 'rush', 'tapi', 'senang', 'crystal', 'susah']","{'effectiveness': 1.66, 'satisfaction': 4.71}",satisfaction,"{'effectiveness': [('rush', 'rusak', 85.71428571428572), ('crystal', 'stabil', 80.0)], 'satisfaction': [('hadiah', 'hadiah', 100.0), ('rush', 'rusuh', 85.71428571428572), ('tapi', 'mantap', 85.71428571428572), ('senang', 'kesenangan', 100.0), ('susah', 'susah', 100.0)]}"
main kurang atur segi hiro kualitas tidak masuk akal,"['segi', 'kurang', 'atur', 'akal', 'kualitas', 'tidak', 'main', 'hiro', 'masuk']","{'effectiveness': 0.8, 'satisfaction': 4.48}",satisfaction,"{'effectiveness': [('masuk', 'maksud', 80.0)], 'satisfaction': [('segi', 'segar', 85.71428571428572), ('kurang', 'curang', 90.9090909090909), ('kualitas', 'berkualitas', 100.0), ('main', 'manfaat', 85.71428571428572), ('masuk', 'suka', 85.71428571428572)]}"
tolong commander brown revamp skill blazing hammer skill kurang kuat kagak pakai commander tolong dengar revamp,"['commander', 'skill', 'hammer', 'kuat', 'brown', 'revamp', 'pakai', 'kurang', 'tolong', 'kagak']","{'effectiveness': 1.0, 'satisfaction': 1.91}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0)], 'satisfaction': [('kuat', 'kuat', 100.0), ('kurang', 'curang', 90.9090909090909)]}"
enak,['enak'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
berat nih,"['berat', 'nih']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('nih', 'meraih', 80.0)], 'satisfaction': [('nih', 'nilai', 80.0)]}"
simple komen,"['simple', 'komen']","{'effectiveness': 0, 'satisfaction': 1.71}",satisfaction,"{'effectiveness': [], 'satisfaction': [('simple', 'simpel', 90.9090909090909), ('komen', 'kompensasi', 80.0)]}"
tidak adil player rata player privilege akses practice mode,"['privilege', 'player', 'akses', 'practice', 'adil', 'rata', 'mode', 'tidak']","{'effectiveness': 0.86, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('adil', 'detail', 85.71428571428572)], 'satisfaction': [('adil', 'adil', 100.0)]}"
uninstall masak hero gold kalah sinergi adil kalah nomer pakai fanco bintang konsol,"['uninstall', 'konsol', 'fanco', 'kalah', 'hero', 'gold', 'bintang', 'nomer', 'pakai', 'sinergi']","{'effectiveness': 2.55, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('konsol', 'konstan', 80.0), ('kalah', 'masalah', 88.88888888888889), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('bintang', 'tenang', 80.0)]}"
grafik bagus,"['grafik', 'bagus']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0)]}"
awal mah seru tapi tidak login data seluler,"['login', 'awal', 'data', 'tidak', 'seluler', 'seru', 'tapi', 'mah']","{'effectiveness': 0.8, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [('mah', 'maksud', 80.0)], 'satisfaction': [('seru', 'seru', 100.0), ('tapi', 'mantap', 85.71428571428572), ('mah', 'lemah', 100.0)]}"
terupdate pasti seru seling capek ngerank,"['ngerank', 'terupdate', 'capek', 'seling', 'seru', 'pasti']","{'effectiveness': 0.8, 'satisfaction': 3.66}",satisfaction,"{'effectiveness': [('terupdate', 'tertunda', 80.0)], 'satisfaction': [('capek', 'capek', 100.0), ('seling', 'bising', 80.0), ('seru', 'seru', 100.0), ('pasti', 'puas', 85.71428571428572)]}"
kocak tidak item butuh,"['butuh', 'item', 'kocak', 'tidak']","{'effectiveness': 1.0, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('butuh', 'utuh', 100.0)], 'satisfaction': []}"
